id,city_id,iata_code,icao_code,lat,lon
291,443,BSJ,YBNS,-37.8875,147.56799
292,441,BZD,YBRN,-34.6236,143.578
293,432,BWQ,YBRW,-29.9739,146.817
294,450,MCY,YBSU,-26.6033,153.091
295,491,BRT,YBTI,-11.76822,130.61779
296,434,BLT,YBTR,-23.6031,148.80701
297,427,BDB,YBUD,-24.9039,152.319
298,258,CVQ,YCAR,-24.8806,113.672
299,416,CAZ,YCBA,-31.5383,145.79401
300,254,CPD,YCBP,-29.04,134.72099
301,419,CCL,YCCA,-26.775,150.617
302,417,CNJ,YCCY,-20.6686,140.504
303,539,CXT,YCHT,-20.0431,146.27299
304,409,CTN,YCKN,-15.4447,145.18401
305,405,CNB,YCNM,-30.9833,148.37601
306,526,CES,YCNK,-32.7875,151.342
307,403,CWW,YCOR,-35.9947,146.35699
308,402,CYG,YCRG,-36.1828,147.888
309,404,CMD,YCTM,-34.6239,148.028
310,401,CWT,YCWR,-33.8447,148.649
311,394,DPO,YDPO,-41.1697,146.42999
312,389,ECH,YECH,-36.1572,144.76199
313,388,EMD,YEML,-23.5675,148.179
314,249,EPR,YESP,-33.6844,121.823
315,385,EVH,YEVD,-29.0933,153.42
316,371,GUH,YGDH,-30.9611,150.25101
317,374,GFN,YGFN,-29.7594,153.03
318,378,GLI,YGLI,-29.675,151.689
319,372,GFF,YGTH,-34.2508,146.067
320,530,GYP,YGYM,-26.2828,152.702
321,369,HXX,YHAY,-34.5314,144.83
322,498,HID,YHID,-10.5864,142.28999
323,246,HCQ,YHLC,-18.2339,127.67
324,510,MHU,YHOT,-37.0475,147.334
325,368,HTU,YHPN,-35.7153,142.36
326,367,HSM,YHSM,-36.6697,142.173
327,364,IVR,YIVL,-29.8883,151.144
328,244,KAX,YKBR,-27.68892,114.25919
329,213,KBY,YKBY,-32.8358,134.293
330,360,KRA,YKER,-35.7514,143.939
331,398,KNS,YKII,-39.87796,143.88258
332,239,LNO,YLEO,-28.8781,121.315
333,484,LDH,YLHI,-31.54036,159.07843
334,472,IRG,YLHR,-12.7869,143.30499
335,355,LSY,YLIS,-28.8303,153.25999
336,356,LHG,YLRD,-29.4567,147.98399
337,471,LER,YLST,-27.8433,120.703
338,451,LVO,YLTN,-28.61564,122.424
339,338,TGN,YLTV,-38.2072,146.47
340,350,MRG,YMBA,-17.0692,145.41901
341,351,XMC,YMCO,-37.5983,149.72
342,336,DGE,YMDG,-32.5625,149.61099
343,345,MIM,YMER,-36.9086,149.901
344,230,MMG,YMOG,-28.1161,117.842
345,340,MRZ,YMOR,-29.4989,149.845
346,339,MYA,YMRY,-35.8978,150.144
347,354,UTB,YMTB,-22.5833,144.533
348,337,MGB,YMTG,-37.7456,140.785
349,498,MYI,YMAE,-9.91667,144.05499
350,348,MBH,YMYB,-25.5133,152.715
351,333,NAA,YNBR,-30.3192,149.827
352,331,QRM,YNRM,-32.2147,148.22501
353,226,ZNE,YNWN,-23.4178,119.803
354,327,NYN,YNYN,-31.5511,147.203
355,216,OLP,YOLD,-30.485,136.877
356,325,OAG,YORG,-33.3817,149.133
357,476,PMK,YPAM,-18.7553,146.58099
358,478,PBO,YPBO,-23.17228,117.747
359,527,BEO,YLMQ,-33.0667,151.64799
360,457,KTA,YPKA,-20.7122,116.773
361,323,PKE,YPKS,-33.1314,148.239
362,525,PKT,YPKT,-14.25,129.52901
363,218,PLO,YPLC,-34.6053,135.88
364,321,PQQ,YPMQ,-31.4358,152.86301
365,316,RMK,YREN,-34.1964,140.674
366,315,RCM,YRMD,-20.7019,143.11501
367,481,RBC,YROI,-34.65,142.783
368,482,RTS,YRTI,-32.0067,115.54
369,492,SGO,YSGE,-28.0497,148.595
370,493,SHT,YSHT,-36.4289,145.39301
371,306,SIO,YSMI,-40.835,145.084
372,491,SNB,YSNK,-11.4228,130.65401
373,508,SHQ,YSPT,-27.915,153.373
374,276,SRN,YSRN,-42.155,145.29201
375,475,HLS,YSTH,-41.3367,148.282
376,302,SWH,YSWH,-35.3758,143.533
377,303,SWC,YSWL,-37.0717,142.741
378,295,TEM,YTEM,-34.4214,147.51199
379,318,XTG,YTGM,-27.98677,143.81554
380,274,TYB,YTIB,-29.4511,142.058
381,289,TUM,YTMU,-35.2628,148.241
382,436,THG,YTNG,-24.4939,150.576
383,297,TRO,YTRE,-31.8886,152.51401
384,395,WMB,YWBL,-38.2953,142.44701
385,284,WGT,YWGT,-36.4158,146.30701
386,285,WGE,YWLG,-30.0328,148.12601
387,471,WUN,YWLU,-26.6292,120.221
388,425,BWT,YWYY,-40.9989,145.731
389,270,NGA,YYNG,-34.2556,148.248
390,438,BHS,YBTH,-33.40802,149.65138
391,446,ARM,YARM,-30.5281,151.617
392,439,BCI,YBAR,-23.5653,145.30701
393,318,BVI,YBDV,-25.8975,139.34801
394,507,HTI,YBHM,-20.3581,148.952
395,347,BEU,YBIE,-24.3461,139.46001
396,442,BNK,YBNA,-28.8339,153.562
397,347,BQL,YBOU,-22.9133,139.89999
